id_mo,main_media_outlet,start_rel,end_rel
100200,114300,1933-09-21,1933-10-21
100300,113900,1935-04-02,1938-07-30
100421,102770,1960-09-29,1960-10-28
100422,102770,1962-05-15,1970-11-26
100600,105700,1932-11-02,1932-11-25
100750,109180,1960-10-31,1961-02-24
100800,110001,1928-03-23,1928-09-30
100821,109180,1961-02-27,1961-10-13
100900,107200,1933-05-31,1933-09-13
101300,101201,1914-09-17,1919-05-17
101800,102200,1938-03-22,1938-07-30
102000,102200,1938-03-18,1938-09-15
102400,102500,1923-02-05,1924-01-31
102700,110601,1934-02-19,1938-03-11
103000,111800,1931-06-23,1931-10-01
104900,111800,1930-05-18,1930-07-23
106000,114300,1933-10-23,1933-11-11
106400,100700,1933-04-05,1933-04-29
106400,104100,1933-06-20,1933-06-19
108200,108100,1938-03-14,1938-03-17
108350,116120,1900-01-02,1904-12-15
109181,109180,1948-10-19,9999-01-01
109860,109850,2013-02-26,9999-01-01
110001,110100,1928-11-06,1930-06-29
110001,114300,1930-07-01,1932-01-03
110601,100103,1932-04-18,1934-02-16
110700,110601,1934-02-17,1938-03-11
112100,114501,1982-06-12,1989-11-30
114503,114502,1945-09-21,2023-06-30
114601,114600,1995-06-10,2016-09-02
115100,107200,1933-09-14,1934-01-12
116010,109173,1896-02-02,1896-10-31
116020,109173,1896-02-02,1896-10-31
116100,101201,1900-10-27,1903-12-31
120700,170720,1970-11-20,1971-03-11
123510,107210,1970-07-22,1970-12-03
123710,170720,1971-03-12,1987-03-31
130151,170151,1937-07-01,1945-04-01
130580,160590,1950-01-19,1950-04-21
130952,171042,1952-05-01,1971-01-31
140540,150282,1971-04-05,1974-09-27
150010,160590,1949-12-01,1950-03-20
150290,150550,1948-02-02,1948-09-30
150560,150550,1947-05-05,1948-01-31
150610,160620,1957-01-01,1958-11-28
150680,150912,1938-08-01,1938-12-31
150720,150912,1938-09-01,1938-12-30
150772,101201,1932-10-18,1933-06-30
150790,160590,1949-09-15,1949-10-22
150880,110831,1968-05-16,1972-08-31
160061,150774,1951-01-02,1972-07-31
160632,150492,1950-07-01,1957-07-01
160641,150571,1975-11-28,1984-08-31
160641,150744,1972-08-01,1975-11-27
160641,150774,1972-08-01,1975-11-27
160662,130460,1982-06-12,1985-02-28
160662,130961,1971-11-03,1974-04-12
160662,131030,1974-04-13,1982-06-11
170050,170633,1949-12-10,1953-08-29
170332,170633,1949-05-14,1961-12-30
171052,111920,1952-09-01,1957-02-28
176020,109180,2003-02-28,2005-12-31
180430,190440,1950-06-01,1956-12-29
180451,130961,1973-05-26,1974-04-12
181910,181900,2006-06-26,2007-10-16
189931,108480,1957-01-01,1957-02-20
190820,180860,1945-11-20,1950-05-31
191000,180860,1945-11-16,9145-11-19
191020,180972,1945-11-15,1957-02-28
191980,183830,1940-07-09,1944-08-29
300070,300022,1997-01-01,2008-06-07
300080,300022,2004-07-05,9999-01-01
300070,300030,1997-01-01,2000-12-31
302747,301747,2019-01-01,9999-01-01
400820,300821,1998-01-01,9999-01-01
200053,200020,2003-07-01,2009-12-31
200082,200020,2009-01-01,9999-01-01
200085,200081,1999-04-26,2002-12-31
200086,200081,2000-01-01,2002-10-26
200090,200020,2003-01-01,2011-04-30
196001,177001,1938-10-06,1939-05-20
151001,177001,1936-11-03,1938-09-30
174001,177001,1868-12-26,1938-09-30
140838,104831,2003-01-10,9999-01-01
140140,104602,1960-01-01,1962-09-30
140141,104603,1962-10-02,1966-10-21
180830,101200,1862-02-01,1868-04-02
180451,131030,1974-04-13,1982-06-11
180451,130460,1982-06-12,1989-11-30
180451,130962,1989-12-01,1990-01-31
180851,130961,1971-10-16,1973-05-25
118002,118001,1920-07-01,1943-12-31
104700,101155,1918-11-14,1944-08-31
104600,101154,1905-04-01,1918-11-13
104500,101154,1893-12-31,1905-03-31
