id_mo,collaboration,start_rel,end_rel
160668,150530,1993-06-01,2014-07-07
170152,300560,2022-03-15,9999-01-01
300233,300260,2019-09-01,9999-01-01
300251,300271,2005-08-29,2008-01-27
300252,300271,2008-01-28,9999-01-01
300251,300281,2005-08-29,2008-01-27
300252,300281,2008-01-28,9999-01-01
300251,300291,2005-08-29,2007-10-31
300233,300352,2017-04-06,2022-12-31
300240,300352,2017-04-06,2022-12-31
300260,300352,2019-09-01,2022-12-31
300450,300460,2008-10-28,2021-06-01
300010,300490,1984-12-01,9999-01-01
300010,300501,2014-06-29,9999-01-01
300010,300601,2000-06-01,2014-06-28
301744,300744,2001-01-01,9999-01-01
300743,301743,2001-01-01,2022-11-01
303743,301743,2022-11-01,9999-01-01
300743,302743,2010-01-01,2022-11-01
301743,302743,2010-01-01,9999-01-01
300743,320010,2021-09-01,2022-11-01
200020,200081,2009-01-01,9999-01-01
200052,200081,1999-04-26,2002-12-31
200335,230010,2001-06-01,9999-01-01
200735,230010,2012-05-21,9999-01-01
200135,200035,1967-10-01,1990-05-01
200235,200035,1967-10-01,1990-05-01
200335,200035,1967-10-01,1990-05-01
200435,200035,1967-10-01,1990-05-01
200535,200035,1967-10-01,1990-05-01
200635,200035,1967-10-01,1990-05-01
200735,200035,1967-10-01,1990-05-01
200835,200035,1967-10-01,1990-05-01
200935,200035,1967-10-01,1990-05-01
181900,170152,2004-09-25,2008-03-31
190470,170152,1975-05-31,9999-01-01
300260,300252,2023-01-01,9999-01-01
300240,300252,2023-01-01,9999-01-01
300233,300252,2023-01-01,9999-01-01
180870,182870,2008-05-15,9999-01-01
190990,192990,2004-01-01,9999-01-01
190470,192990,2004-01-01,9999-01-01
158240,158259,2006-09-29,9999-01-01
158250,158259,2018-08-29,9999-01-01
108241,108258,2018-08-29,9999-01-01
108251,108258,2018-08-29,9999-01-01
181870,182870,2008-05-15,9999-01-01
