id_mo,mo_title,id_sector,mandate,location,primary_distr_area,local,language,start_date,start_fake_date,end_date,end_fake_date,editorial_line_s,editorial_line_e,comments
100101,"Abend, Der [1]",11,2,Wien,11,0,deutsch,1915-06-14,9,1917-02-20,9,KA,KA,21.02.1917-06.03.1917 aus Zensurgründen nicht erschienen
100102,"Abend, Der [2]",11,2,Wien,11,0,deutsch,1917-03-07,9,1918-03-18,9,KA,KA,19.03.1918-31.05.1918 polizeilich verboten
100103,"Abend, Der [3]",11,2,Wien,11,0,deutsch,1918-10-31,9,1934-02-16,9,KA,KA,KA
100200,AbendAusgabe,11,2,Wien,11,0,deutsch,1933-09-21,9,1933-10-21,9,KA,KA,KA
100300,Abendausgabe,11,2,Wien,11,0,deutsch,1935-04-02,9,1938-07-30,9,KA,KA,Hervorgegangen aus der seit 20.02.1934 erschienenen Abendausgabe von > 113900 Wiener Neueste Nachrichten
100400,Abend-Express,11,2,Wien,11,0,deutsch,1933-01-04,9,1933-01-07,9,KA,KA,KA
100500,"Abendfunk, Der",11,2,Wien,11,0,deutsch,1933-06-20,9,1933-07-01,9,KA,KA,KA
100600,Abendpost,11,2,Wien,11,0,deutsch,1932-11-02,9,1932-11-25,9,KA,KA,KA
100700,"Abendpost, Die",11,4,Wien,11,0,deutsch,1933-04-18,9,1933-04-29,9,KA,KA,KA
100750,Abend-Presse,11,2,Wien,11,0,deutsch,1960-10-31,9,1961-02-24,9,KA,KA,KA
100800,Abendzeitung,11,2,Wien,11,0,deutsch,1928-03-23,9,1928-09-30,9,KA,KA,KA
100821,Abend-Zeitung,11,2,Wien,11,0,deutsch,1961-02-27,9,1962-05-11,9,KA,KA,"Die Abend-Zeitung bezeichnet sich ab 14.10.1961 nicht mehr als Abendausgabe der > 109180 Presse. Sie und die Presse wurden an zwei unterschiedliche Eigentümer verkauft, die jedoch personell verbunden waren, vgl. Zeitungs-Verlag und Zeitschriften-Verlag 59(1962), S. 784."
100900,Acht-Uhr-Blatt,11,2,Wien,11,0,deutsch,1933-05-31,9,1933-09-13,9,KA,KA,KA
101000,"Adler, Der",11,2,Wien,11,0,deutsch,1933-07-07,9,1933-07-25,9,KA,KA,KA
101101,Alldeutsches Tagblatt,11,4,Wien,11,0,deutsch,1903-04-01,9,1914-08-08,9,KA,KA,KA
101102,Alldeutsches Tagblatt ,11,4,Wien,11,0,deutsch,1917-06-01,9,1920-06-15,9,KA,KA,Zusammengelegt mit > 109001 Ostdeutsche Rundschau zu > 112300 Wiener Deutsche Tageszeitung                   
101201,Arbeiter-Zeitung ,11,4,Wien,11,0,deutsch,1893-10-31,9,1934-02-12,9,KA,KA,"25.02.1934 - 15.03.1938 als Wochenzeitung bzw. 2 mal monatlich im Exil in Brünn, Paris und Böhmisch-Trübau und ab Herbst 1937 illegal in Wien erschienen"
101251,AZ -Ausgabe für Wien,11,4,Wien,11,0,deutsch,1989-12-12,9,1991-10-31,9,KA,KA,KA
101300,AZ am Abend,11,4,Wien,11,0,deutsch,1914-09-17,9,1919-05-17,9,KA,KA,Bis 29.04.1922 zweite Ausgabe der > 101201 Arbeiter-Zeitung
101380,Bécsi Magyar Híradó ,11,4,Wien,11,0,ungarisch,1957-01-11,9,1957-07-12,9,KA,KA,KA
101450,Bild-Telegraf,11,3,Wien,11,0,deutsch,1954-04-03,9,1958-07-23,9,KA,KA,13.03.1958 - 16.03.1958 infolge des ersten Wiener Zeitungskrieges nicht erschienen.
