id_mo,year,mo_year,calc,circulation,circulation_source,unique_users,unique_users_source,reach_nat,reach_nat_source,reach_reg,reach_reg_source,market_share,market_share_source,comments
103680,2021-12-01,1036802021,1,480589,1502021,99,99,9.3,2002021,99.0,99,17.8,1502021,Mo-Fr
103684,2021-12-01,1036842021,2,126252,1502021,99,99,99.0,99,13.1,2002021,4.7,1502021,Mo-Fr
103683,2021-12-01,1036832021,2,80323,1502021,99,99,99.0,99,8.6,2002021,3.0,1502021,Mo-Fr
103681,2021-12-01,1036812021,2,274014,1502021,99,99,99.0,99,21.8,2002021,10.1,1502021,Mo-Fr
170150,2021-12-01,1701502021,1,302147,1502021,99,99,9.3,2002021,99.0,99,11.2,1502021,Mo-Fr
130152,2021-12-01,1301522021,2,97789,1502021,99,99,2.9,2002021,43.4,2002021,3.6,1502021,Mo-So
170152,2021-12-01,1701522021,2,204361,1502021,99,99,6.4,2002021,38.9,2002021,7.6,1502021,Mo-So
104830,2021-12-01,1048302021,1,736867,1502021,99,99,23.3,2002021,99.0,99,27.2,1502021,Mo-So
120160,2021-12-01,1201602021,2,39393,1502021,99,99,99.0,99,36.0,2002021,1.5,1502021,Mo-So
130180,2021-12-01,1301802021,2,72840,1502021,99,99,99.0,99,30.2,2002021,2.7,1502021,Mo-So
140180,2021-12-01,1401802021,2,151422,1502021,99,99,99.0,99,26.5,2002021,5.6,1502021,Mo-So
150180,2021-12-01,1501802021,2,129032,1502021,99,99,99.0,99,24.0,2002021,4.8,1502021,Mo-So
160200,2021-12-01,1602002021,2,61093,1502021,99,99,99.0,99,25.1,2002021,2.3,1502021,Mo-So
170220,2021-12-01,1702202021,2,125550,1502021,99,99,99.0,99,25.8,2002021,4.6,1502021,Mo-So
180200,2021-12-01,1802002021,2,48238,1502021,99,99,99.0,99,19.3,2002021,1.8,1502021,Mo-So
190200,2021-12-01,1902002021,2,3944,1502021,99,99,99.0,99,4.8,2002021,0.2,1502021,Mo-So
104831,2021-12-01,1048312021,2,105355,1502021,99,99,99.0,99,18.9,2002021,3.9,1502021,Mo-So
104850,2021-12-01,1048502021,1,143592,1502021,99,99,6.3,2002021,99.0,99,5.3,1502021,Mo-So
120180,2021-12-01,1201802021,2,10102,1502021,99,99,99.0,99,12.6,2002021,0.4,1502021,Mo-So
140210,2021-12-01,1402102021,2,54256,1502021,99,99,99.0,99,13.1,2002021,2.0,1502021,Mo-So
104851,2021-12-01,1048512021,2,57739,1502021,99,99,99.0,99,10.0,2002021,2.1,1502021,Mo-So
190470,2021-12-01,1904702021,1,13975,1502021,99,99,0.4,2002021,9.2,2002021,0.5,1502021,Di-So
150550,2021-12-01,1505502021,1,126797,1502021,99,99,5.4,2002021,28.7,2002021,4.7,1502021,Mo-Sa
108250,2021-12-01,1082502021,1,407022,1502021,99,99,99.0,9802021,99.0,99,15.0,1502021,Mo-Fr
158250,2021-12-01,1582502021,2,47138,1502021,99,99,99.0,99,99.0,9802021,1.7,1502021,Mo-Fr
108251,2021-12-01,1082512021,2,269277,1502021,99,99,99.0,99,99.0,9802021,10.0,1502021,Mo-Fr
108259,2021-12-01,1082592021,0,436260,1502021,99,99,6.8,2002021,99.0,99,16.1,1502021,"oe24: Mo-Fr, Österreich: Mo-So, Auflage bezieht sich auf Mo-Fr "
158259,2021-12-01,1582592021,0,49719,1502021,99,99,99.0,99,5.2,2002021,1.8,1502021,"oe24: Mo-Fr, Österreich: Mo-So, Auflage bezieht sich auf Mo-Fr "
108258,2021-12-01,1082582021,0,283086,1502021,99,99,99.0,99,14.6,2002021,10.5,1502021,"oe24: Mo-Fr, Österreich: Mo-So, Auflage bezieht sich auf Mo-Fr "
108240,2021-12-01,1082402021,1,80871,1502021,99,99,99.0,9802021,99.0,99,3.0,1502021,Mo-So
158240,2021-12-01,1582402021,2,7557,1502021,99,99,99.0,99,99.0,9802021,0.3,1502021,Mo-So
108241,2021-12-01,1082412021,2,34960,1502021,99,99,99.0,99,99.0,9802021,1.3,1502021,Mo-So
150531,2021-12-01,1505312021,1,16628,9702021,99,99,99.0,99,99.0,99,0.6,9702021,"Mo-Sa, Mailverkehr mit Administration des Oberösterreichischen Volksblattes, angefragt am 25.02.2021"
109180,2021-12-01,1091802021,1,75404,1502021,99,99,3.8,2002021,99.0,99,2.8,1502021,Mo-So
109181,2021-12-01,1091812021,2,99,9802021,99,99,99.0,99,6.1,2002021,99.0,9802021,Mo-So
160629,2021-12-01,1606292021,1,82818,1502021,99,99,3.1,2002021,99.0,99,3.1,1502021,Mo-Sa
160620,2021-12-01,1606202021,2,55098,1502021,99,99,99.0,99,30.8,2002021,2.0,1502021,"Mo-Sa, Verkaufte Auflage"
109850,2021-12-01,1098502021,1,66998,1502021,99,99,7.2,2002021,12.5,2002021,2.5,1502021,Mo-Sa
119850,2021-12-01,1198502021,2,99,9802021,99,99,99.0,99,99.0,99,99.0,9802021,Mo-Sa
119860,2021-12-01,1198602021,0,99,9802021,99,99,99.0,9802021,99.0,99,99.0,9802021,Mo-Fr
180870,2021-12-01,1808702021,1,85304,1502021,99,99,3.1,2002021,34.8,2002021,3.2,1502021,Mo-So
181870,2021-12-01,1818702021,1,9270,1502021,99,99,99.0,9802021,99.0,9802021,0.3,1502021,Mo-Fr
182870,2021-12-01,1828702021,0,99,99,99,99,3.3,2002021,36.4,2002021,99.0,99,"TT: Mo-So, TT Kompakt: Mo-Fr"
