id_source,source_name
1702022,ORF-Bericht 2022
1702023,ORF-Bericht 2023
1702012,ORF-Bericht 2012
3042008,ÖWA 4. Quartal 2008
3042009,ÖWA 4. Quartal 2009
3042010,ÖWA 4. Quartal 2010
3042011,ÖWA 4. Quartal 2011
3042012,ÖWA 4. Quartal 2012
3042013,ÖWA 4. Quartal 2013
3042014,ÖWA 4. Quartal 2014
3042015,ÖWA 4. Quartal 2015
3042016,ÖWA 4. Quartal 2016
3042017,ÖWA 4. Quartal 2017
3042018,ÖWA 4. Quartal 2018
3042019,ÖWA 4. Quartal 2019
3002020,ÖWA Jahresbericht 2020
3002021,ÖWA Jahresbericht 2021
3002022,ÖWA Jahresbericht 2022
1102003,Statistik Austria: Kulturstatistik. BJ 2003
1102004,Statistik Austria: Kulturstatistik. BJ 2004
1102006,Statistik Austria: Kulturstatistik. BJ 2006
1102008,Statistik Austria: Kulturstatistik. BJ 2008_2009
1102010,Statistik Austria: Kulturstatistik. BJ 2010
1102011,Statistik Austria: Kulturstatistik. BJ 2011
1102016,Statistik Austria: Kulturstatistik. BJ 2016
1102018,Statistik Austria: Kulturstatistik. BJ 2018
1102019,Statistik Austria: Kulturstatistik. BJ 2019
1102021,Statistik Austria: Kulturstatistik. BJ 2021
1601993,Massenmedien in Österreich - Medienbericht Bd. 4 (1993)
1201993,Media-Analyse 1993
1201994,Media-Analyse 1994
1201995,Media-Analyse 1995
1201996,Media-Analyse 1996
1201997,Media-Analyse 1997
1201998,Media-Analyse 1998
1201999,Media-Analyse 1999
1202000,Media-Analyse 2000
1202001,Media-Analyse 2001
1202002,Media-Analyse 2002
1202003,Media-Analyse 2003
1202004,"Media-Analyse 2004, zitiert nach derstandart.at, 23.03.2005"
1202005,"Media-Analyse 2005, zitiert nach derstandart.at, 29.03.2006"
1202006,"Media-Analyse 2006, zitiert nach derstandart.at, 27.03.2007"
1202007,"Media-Analyse 2007, zitiert nach derstandart.at, 28.03.2008"
1202008,"Media-Analyse 2008, zitiert nach derstandart.at, 01.04.2009"
1502021,Österreichische Auflagenkontrolle Jahresbericht 2021
1502022,Österreichische Auflagenkontrolle Jahresbericht 2022
1502023,Österreichische Auflagenkontrolle Jahresbericht 2023
9802021,"In Angabe zu ""Dach"", ""Kombi"" oder ""Hauptausgabe inkludiert im Jahr 2021"
9802022,"In Angabe zu ""Dach"", ""Kombi"" oder ""Hauptausgabe inkludiert im Jahr 2022"
9802023,"In Angabe zu ""Dach"", ""Kombi"" oder ""Hauptausgabe inkludiert im Jahr 2023"
2002021,TBA 2021
2002022,TBA 2022
2002023,TBA 2023
